acta,producto,muestra,clasificacion,articulos,rotulado_frontal,marca,fecha_de_analisis,habilitacion_de_producto,vencimiento,lote,contenido_neto
128090,Fruta glaseada,774538,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA GRANJERA,2024-12-20,7263/16635,2025-10-31,101024,400g
128106,ANANÁ EN RODAJAS EN ALMIBAR LIVIANO,774532,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,AMERICAN FOOD,2024-12-20,26206/27,2026-04-22,BM29 ELAB:22/04/2024,830 g
128107,Barra de cereal sabor frutilla con frutilla,774537,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,QUAKER,2024-12-20,3086/1296,2025-04-30,100916854 :47:15,138 g
128106,CEREZAS CONFITADAS EN ALMIBAR SABOR AL MARRASQUINO,774534,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COSECHA DORADA,2024-12-20,7661/155,2027-11-10,VD-10 101123/110,3.1 Kg
128106,Frutillas enteras en almibar concentrado - Sin gluten,774533,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COSECHA DORADA-GOLDEN CROP,2024-12-20,7661/254,2026-03-24,FSC268 ENV:25/09/2023 14:29,520 g
128105,BARRA DE CEREALES SABOR BROWNIE CON COBERTURA SABOR CHOCOLATE SIN AZUCARES AGREGADOS,774528,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PORTEZUELO - NUTRILATE,2024-12-19,12/1087,2025-07-24,20624 19:40,25 g
128105,BARRA DE CEREALES CON DAMASCO Y MANZANA SIN AZUCARES AGREGADOS,774530,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PORTEZUELO - NUTRILATE,2024-12-19,12/1086,2025-07-04,18624 20:12,25 g
128105,Barra de cereales,774529,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CEREAL MIX ARCOR,2024-12-19,1409/8259,2025-06-25,25062025-AO 13:04 M23,23 g
128103,CIRUELAS  DESHIDRATADAS SIN CAROZO,774524,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIO DE LA PLATA,2024-12-18,5529/1243,2025-10-09,283,200 g
128103,PASAS DE UVA MORENAS SIN SEMILLA,774525,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA ABUNDANCIA,2024-12-18,394/17,2025-09-30,4326,250 g
128103,Dátiles con carozo deshidratados endulzados,774522,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,KARTAGO,2024-12-18,11913/2292,2025-10-31,LNR 115 YU/23,200 g
